fecha,taxi_verde_williamsburg,uber_williamsburg,uber_midtown
2025-08-13,33.96,130302.05,449951.42
2025-08-14,69.72,131935.6,373780.1
2025-08-15,237.89,149631.17,215874.85
2025-08-16,821.87,211210.12,148642.54
2025-08-17,1124.13,203778.2,137307.56
2025-08-18,0.0,93856.71,224324.58
2025-08-19,0.0,89545.05,288937.14
2025-08-20,58.519999999999996,115978.83,410305.96
2025-08-21,95.55,122857.46,331222.53
2025-08-22,159.22,145179.49,215372.16
2025-08-23,491.64,205667.61000000002,168465.27
2025-08-24,1424.22,182423.18,153760.84
2025-08-25,38.64,89725.94,229262.11000000002
2025-08-26,119.62,90335.52,285427.47000000003
2025-08-27,120.0,106435.95,314380.96
2025-08-28,167.05,121176.32,300757.89
2025-08-29,134.01999999999998,143929.57,223386.99
2025-08-30,543.74,179567.35,172292.37
2025-08-31,466.1,182505.09,160894.99
2025-09-01,313.04,132862.75,148024.39
2025-09-02,16.0,96893.6,316986.5
2025-09-03,0.0,110391.35,416091.57
2025-09-04,0.0,144207.16,540806.92
2025-09-05,254.9,166597.2,338345.71
2025-09-06,521.64,277791.4,189886.57
2025-09-07,622.5,208147.74,188022.07
2025-09-08,15.3,115107.75,363055.36
2025-09-09,38.92,113105.37,492365.13
2025-09-10,33.12,130328.78,595931.99
2025-09-11,0.0,151994.27,491690.91
2025-09-12,238.3,182680.78,324824.61
2025-09-13,765.25,269712.24,212612.13
2025-09-14,831.46,242901.22,180147.7
2025-09-15,53.4,125454.62,348581.64
2025-09-16,0.0,123658.62,479609.81
2025-09-17,0.0,140997.14,519692.09
2025-09-18,160.17,157457.6,551129.95
2025-09-19,163.56,178662.02,324813.57
2025-09-20,945.76,255177.22999999998,189682.74
2025-09-21,849.11,235804.19,170159.38
2025-09-22,48.81,107738.32,262329.14
2025-09-23,74.71,108566.94,251105.29
2025-09-24,45.1,118885.68000000001,439352.24
2025-09-25,85.42,152560.18,560461.08
2025-09-26,328.34,181202.47,347453.05
2025-09-27,836.95,275725.09,235183.35
2025-09-28,1321.67,242547.81,196699.78
2025-09-29,0.0,120070.21,333295.15
2025-09-30,90.77,116777.08,487896.8
2025-10-01,0.0,114713.64,438233.8
2025-10-02,81.7,129208.62,384639.63
2025-10-03,200.26,171556.43,291124.56
2025-10-04,1311.67,250693.23,201594.36000000002
2025-10-05,1243.14,210053.77,149988.42
2025-10-06,0.0,111215.33,328101.21
2025-10-07,92.69,114110.96,442010.99
2025-10-08,0.0,139181.77,528579.48
2025-10-09,170.92000000000002,157130.21,606095.63
2025-10-10,246.68,169270.67,341051.64
2025-10-11,971.06,265454.9,224196.72
2025-10-12,1112.67,222314.84,187811.47
2025-10-13,21.7,114017.2,289086.14
2025-10-14,12.6,115832.22,459781.24
2025-10-15,11.64,129000.52,532042.29
2025-10-16,112.82000000000001,158819.69,614129.67
2025-10-17,363.19,171368.52,349773.16
2025-10-18,382.84000000000003,234089.17,226857.84
2025-10-19,490.5,222842.37,197034.77
2025-10-20,0.0,115598.73,358849.82
2025-10-21,29.0,110258.97,475076.55
2025-10-22,30.03,117941.75,543473.86
2025-10-23,371.7,138681.56,591778.47
2025-10-24,231.53,169810.84,348324.72000000003
2025-10-25,1308.09,241306.33,222959.77
2025-10-26,914.82,206426.14,187127.05
2025-10-27,0.0,106687.27,358898.35
2025-10-28,29.21,109440.63,500835.65
2025-10-29,127.08000000000001,127439.02,577618.23
2025-10-30,0.0,162975.91,691751.12
2025-10-31,177.93,195729.13,310502.69
2025-11-01,1489.26,423219.95,228965.42
2025-11-02,900.0699999999999,242514.27,215145.9
2025-11-03,0.0,120836.42,402521.44
2025-11-04,0.0,106491.59,485088.23
2025-11-05,0.0,122235.65,576266.08
2025-11-06,0.0,136669.12,611570.83
2025-11-07,117.98,161161.01,362204.44
2025-11-08,554.17,245413.9,247549.79
2025-11-09,1093.59,227788.57,239975.43
2025-11-10,0.0,112078.58,384502.23
2025-11-11,0.0,109192.94,395641.79
2025-11-12,23.7,114155.35,570117.8
2025-11-13,22.36,139020.32,627982.23
2025-11-14,168.86,178465.91,368936.73
2025-11-15,965.23,232627.69,253725.72
2025-11-16,681.45,211590.77,233439.52
2025-11-17,0.0,109924.77,396963.6
2025-11-18,0.0,103103.51,536235.26
2025-11-19,23.93,136435.82,614810.75
2025-11-20,0.0,136132.63,616162.24
2025-11-21,153.7,166057.4,359218.96
2025-11-22,544.11,226738.51,233913.87
2025-11-23,565.33,188934.21,193586.67
2025-11-24,0.0,100554.53,301865.3
2025-11-25,112.1,119421.73,408164.09
2025-11-26,0.0,112592.68000000001,219868.1
2025-11-27,0.0,86260.74,127840.07
2025-11-28,50.3,84640.61,204024.04
2025-11-29,255.94,126515.38,215199.23
2025-11-30,215.99,131348.42,185712.51
2025-12-01,0.0,99011.26,373900.13
2025-12-02,37.83,113972.21,653524.6
2025-12-03,40.67,124990.08,554087.63
2025-12-04,0.0,161613.77,855196.54
2025-12-05,214.68,180185.45,467125.92
2025-12-06,639.15,237489.98,300033.29
2025-12-07,676.92,224821.44,282772.46
2025-12-08,0.0,126185.54,534797.98
2025-12-09,0.0,130816.46,739682.17
2025-12-10,16.52,153160.11,832207.96
2025-12-11,0.0,182682.29,840403.52
2025-12-12,62.66,208776.5,506791.69
2025-12-13,630.08,304876.82,332509.17
2025-12-14,646.42,292214.18,279774.46
2025-12-15,0.0,146508.42,472681.22000000003
2025-12-16,0.0,134164.91,626943.99
2025-12-17,38.52,142493.55,605961.16
2025-12-18,131.45999999999998,165380.32,607094.48
2025-12-19,62.64,194290.81,388159.09
2025-12-20,379.16,252004.82,240474.81
2025-12-21,616.23,180875.63,240064.79
2025-12-22,10.0,98988.27,262415.54
2025-12-23,0.0,103833.95,227865.43
2025-12-24,16.0,84763.98,164391.22
2025-12-25,0.0,50976.55,117141.87
2025-12-26,0.0,60637.3,175533.98
2025-12-27,17.880000000000003,83525.39,195826.34
2025-12-28,113.9,95033.26,191982.23
2025-12-29,49.13,79813.98,200071.31
2025-12-30,46.620000000000005,90447.6,207206.3
2025-12-31,12.45,129993.78,164286.63
2026-01-01,1298.84,273260.81,208791.52
2026-01-02,51.1,103183.22,188371.5
2026-01-03,211.34,138586.05,176363.67
2026-01-04,85.26,127253.57,138949.51
2026-01-05,0.0,80670.65,251695.08
2026-01-06,12.62,75761.55,315221.28
2026-01-07,0.0,76964.33,351633.61
2026-01-08,0.0,91472.86,379828.77
2026-01-09,202.95,120648.64,240630.01
2026-01-10,774.29,244609.63,202645.96
2026-01-11,952.19,211132.78,155629.44
2026-01-12,0.0,97928.24,331323.03
2026-01-13,109.95,97069.8,454235.2
2026-01-14,95.73,100755.62,490688.47
2026-01-15,0.0,128339.8,503644.99
2026-01-16,135.37,158679.96,314548.05
2026-01-17,423.98,231529.57,186536.23
2026-01-18,723.1999999999999,213043.89,181802.18
2026-01-19,53.62,131968.68,166183.47
2026-01-20,0.0,105091.37,416323.79
2026-01-21,71.55,105276.93000000001,498757.23
2026-01-22,0.0,116349.39,525556.29
2026-01-23,233.97,168719.26,317497.39
2026-01-24,138.94,249511.08000000002,204419.09
2026-01-25,214.01,82695.25,51030.26
2026-01-26,0.0,76679.66,147878.76
2026-01-27,0.0,143394.76,470463.17
2026-01-28,10.08,135981.89,559758.52
2026-01-29,20.0,153046.45,635704.77
2026-01-30,73.24000000000001,190005.17,378209.77
2026-01-31,570.03,256329.41,199723.37
2026-02-01,446.0,226841.61000000002,176876.63
2026-02-02,0.0,117003.75,355043.85
2026-02-03,21.55,108183.93000000001,487982.5
2026-02-04,39.05,115955.46,512772.69
2026-02-05,45.26,126945.45,531506.16
2026-02-06,251.59,156093.03,305071.65
2026-02-07,747.03,298966.34,212369.62
2026-02-08,510.75,256574.22,169226.29
2026-02-09,94.86,131744.52,354515.71
2026-02-10,0.0,111975.51,478905.53
2026-02-11,61.0,125036.95,529989.34
2026-02-12,0.0,146749.16,571240.12
2026-02-13,179.33,180543.78,325369.51
2026-02-14,1005.34,250206.71,253931.34
2026-02-15,761.65,204813.8,215185.91
2026-02-16,23.04,115477.91,178315.62
2026-02-17,0.0,94702.31,360640.03
2026-02-18,0.0,107568.6,508414.53
2026-02-19,0.0,114511.93000000001,471979.52
2026-02-20,32.79,160378.43,340723.02
2026-02-21,501.91,249093.93,203953.73
2026-02-22,572.7,170903.56,122801.67
2026-02-23,0.0,16905.42,51296.29
2026-02-24,0.0,112360.46,295474.87
2026-02-25,36.52,128421.38,420261.79
2026-02-26,65.76,134192.61,487167.97
2026-02-27,215.22,160839.94,322298.69
2026-02-28,501.23,246843.78,197853.04
2026-03-01,403.91,205741.08,160009.91
2026-03-02,56.0,100369.09,343400.3
2026-03-03,65.03,118102.38,566490.35
2026-03-04,0.0,108686.19,543558.49
